year,month,DRealGDP_L1q,DRealGDP_0q,DRealGDP_F1q,DRealGDP_F2q,DRealGDP_F3q,DRealGDP_F4q,DRealGDP_F5q,DRealGDP_F6q,DRealGDP_F7q
1990,5,,,,,,,,,
1990,6,,,,,,,,,
1990,7,,,,,,,,,
1990,8,,,,,,,,,
1990,9,,,,,,,,,
1990,10,,,,,,,,,
1990,11,,,,,,,,,
1990,12,,,,,,,,,
1991,1,,,,,,,,,
1991,2,,,,,,,,,
1991,3,,,,,,,,,
1991,4,,,,,,,,,
1991,5,,,,,,,,,
1991,6,,,,,,,,,
1991,7,,,,,,,,,
1991,8,,,,,,,,,
1991,9,,,,,,,,,
1991,10,,,,,,,,,
1991,11,,,,,,,,,
1991,12,,,,,,,,,
1992,1,,,,,,,,,
1992,2,,-.3,-.3,-.1000001,-.1000001,.0999999,.1000001,.0999999,.1000001
1992,3,,-.1,.2,.2,.1000001,0,-.1000001,-.0999999,-.1000001
1992,4,.8000001,.0999999,-.2,-.2,-.0999999,0,0,.1000001,
1992,5,,.4000001,.1000001,.0999999,0,0,-.0999999,-.1000001,
1992,6,,-.1000001,-.1000001,0,0,.1000001,.0999999,0,
1992,7,-.5,-.1999998,-.2,0,0,0,.1000001,,
1992,8,,-.3000002,-.1999998,-.1000001,-.1000001,0,0,,
1992,9,,-.5,-.2,0,0,0,0,,
1992,10,-.3,-.4000001,-.1999998,0,.0999999,.0999999,,,
1992,11,,-.4,-.3000002,-.1999998,-.0999999,0,,,
1992,12,,.1,.1000001,0,.0999999,.0999999,,,
1993,1,.7,.0999999,.0999999,0,0,,,,
1993,2,,0,0,.2,.2,.0999999,0,0,.0999999
1993,3,,.1000001,0,-.0999999,-.0999999,-.0999999,-.1000001,-.2,-.1999998
1993,4,0,-.0999999,0,0,0,-.0999999,-.0999999,-.1000001,
1993,5,,-.4000001,-.1000001,0,-.1000001,0,-.1000001,0,
1993,6,,-.0999999,0,-.1000001,-.0999999,0,0,-.0999999,
1993,7,-.1000001,-.1999998,.1000001,-.0999999,-.0999999,0,.0999999,,
1993,8,,.1999998,.0999999,0,-.1000001,-.0999999,-.2,,
1993,9,,-.3999999,-.3,-.2,-.0999999,-.1000001,0,,
1993,10,-.1000001,0,0,-.1000001,0,0,,,
1993,11,,.3,.0999999,.1000001,.1000001,0,,,
1993,12,,.5,0,0,0,.1000001,,,
1994,1,.3999999,.2,0,0,.0999999,,,,
1994,2,,.0999999,.0999999,.2,.1000001,0,0,0,-.1000001
1994,3,,0,.2,0,0,.0999999,.1000001,0,0
1994,4,.2,.2,0,0,.2,0,.1000001,0,
1994,5,,.3,.0999999,0,-.0999999,.0999999,0,0,
1994,6,,0,0,-.1000001,-.1000001,0,-.1000001,0,
1994,7,-.2,0,0,0,-.0999999,0,-.0999999,,
1994,8,,-.5999999,-.0999999,-.0999999,0,0,.0999999,,
1994,9,,-.2,.0999999,0,-.1000001,-.0999999,-.0999999,,
1994,10,.0999999,.1000001,-.1000001,0,0,-.0999999,,,
1994,11,,-.2,0,0,-.0999999,-.1000001,,,
1994,12,,.5999999,.2,-.0999999,0,0,,,
1995,1,.6000001,.2,.0999999,-.1000001,-.0999999,,,,
1995,2,,-.2,-.0999999,0,0,.0999999,.1000001,.1000001,-.1000001
1995,3,,0,0,0,-.1000001,-.0999999,-.2,.0999999,0
1995,4,-.0999999,-.0999999,0,.1000001,.0999999,.2,0,.1000001,
1995,5,,-.2,0,.0999999,.1000001,0,0,-.1000001,
1995,6,,-.7,-.0999999,.2,.0999999,.0999999,.1000001,0,
1995,7,-.6,-.2,.0999999,0,.1000001,.1999998,.2,,
1995,8,,.0999999,.1000001,.2,.0999999,-.0999999,0,,
1995,9,,-.0999999,.0999999,0,.0999999,0,-.0999999,,
1995,10,.2,-.0999999,0,0,.0999999,.0999999,,,
1995,11,,-.3,-.0999999,-.0999999,-.0999999,0,,,
1995,12,,-.1000001,0,0,0,0,,,
1996,1,-.4,-.5000001,-.3,-.3,-.3,,,,
1996,2,-.1999999,-.3,-.1000001,.0999999,0,-.2,-.1000001,-.1999999,-.1999999
1996,3,,-.2,0,0,0,-.0999999,-.1999999,.1,.1
1996,4,.1,.2,0,0,0,.1,.0999999,.0999999,
1996,5,,.4000001,0,-.1000001,-.1,-.1,-.0999999,0,
1996,6,,.5999999,0,-.0999999,.1,0,0,0,
1996,7,.4000001,.3,.0999999,0,-.1,-.1,-.1999999,,
1996,8,,0,0,-.1,0,.1,0,,
1996,9,,-.0999999,.1000001,.1,0,0,.1,,
1996,10,-.0999999,.0999999,.0999999,0,-.1,0,,,
1996,11,,-.0999999,0,.2,0,0,,,
1996,12,,0,0,-.1,.1,.0999999,,,
1997,1,.3,.1000001,.1999999,-.1,0,,,,
1997,2,,-.1000001,-.0999999,-.1,-.1999999,-.1999999,0,0,.0999999
1997,3,,.3000002,.0999999,0,0,.1,.1000001,0,-.0999999
1997,4,.6999998,.4000001,.3,.1,0,-.3000001,0,0,
1997,5,,-.2,0,0,0,.1,0,-.1,
1997,6,,-.0999999,.2,.2,.2,.2,0,.1,
1997,7,-.1000001,.3,0,-.1000001,-.2,0,.0999999,,
1997,8,,0,.3,.1000001,.2,.0999999,.1000001,,
1997,9,,-.0999999,.0999999,.0999999,.0999999,.1000001,0,,
1997,10,.4000001,.2,.1000001,.1000001,0,0,,,
1997,11,,-.2,0,-.1000001,.0999999,.0999999,,,
1997,12,,.1000001,-.1000001,-.0999999,-.0999999,-.0999999,,,
1998,1,.3999999,.1000001,0,-.1000001,0,,,,
1998,2,,-.1000001,-.1000001,-.0999999,0,0,0,.1000001,0
1998,3,,.1000001,.1000001,.0999999,-.1000001,0,.0999999,.0999999,0
1998,4,.5999999,.0999999,.1000001,.1000001,0,-.0999999,-.0999999,-.0999999,
1998,5,,.1000001,.0999999,.0999999,.0999999,0,0,0,
1998,6,,-.2,-.0999999,0,.1000001,0,0,0,
1998,7,-.2,0,.2,-.1000001,0,0,0,,
1998,8,,0,0,0,-.1000001,0,0,,
1998,9,,-.2,.0999999,-.0999999,-.0999999,0,0,,
1998,10,0,-.1999998,-.3000001,-.2,-.2,-.1000001,,,
1998,11,,-.3000002,-.1999999,-.1,0,.1000001,,,
1998,12,,.4000001,.0999999,0,0,.0999999,,,
1999,1,.5999999,.2,0,-.1000001,0,,,,
1999,2,,.5,.3000001,.2,.0999999,-.2,.0999999,.0999999,.0999999
1999,3,,.4000001,.3,.1000001,.1000001,-.4,-.0999999,-.1999998,0
1999,4,.5,.2,.1999998,.0999999,.1,-.2,0,0,
1999,5,,.3,.2,.2,.1,.2,.0999999,.1000001,
1999,6,,.0999999,.1000001,.0999999,.1999999,.0999999,.2,.0999999,
1999,7,.4000001,.1999998,.1000001,0,-.0999999,0,.1000001,,
1999,8,,.2,.0999999,0,0,.0999999,0,,
1999,9,,.5,.3,0,.0999999,0,.0999999,,
1999,10,.2,.2,.2,0,0,0,,,
1999,11,,.3,.0999999,.2,.1000001,.0999999,,,
1999,12,,.0999999,.1000001,.2,.1999998,.1000001,,,
2000,1,.3000002,.8,.2,.3000002,0,,,,
2000,2,,.0999999,0,-.1000001,0,.0999999,.1000001,.0999999,.1999998
2000,3,,.8000002,.0999999,-.2,0,.0999999,0,.0999999,.1000001
2000,4,.7999997,.1000001,.3000002,0,0,0,.2,.0999999,
2000,5,,.3,.0999999,.0999999,.1000001,.1999998,.1000001,0,
2000,6,,.3999999,-.0999999,-.0999999,0,-.0999999,-.2,0,
2000,7,-.5,0,.0999999,0,0,0,-.0999999,,
2000,8,,-.2,0,0,.2,0,.0999999,,
2000,9,,-.3,.3,.3,.2,.3,.2,,
2000,10,.0999999,0,-.2,-.1000001,-.0999999,0,,,
2000,11,,-.3,-.0999999,-.2,0,0,,,
2000,12,,-.3999999,-.4000001,-.3,-.2,-.0999999,,,
2001,1,-.7,-.9,-.3,-.1000001,.0999999,,,,
2001,2,,-1.1,-.5,-.0999999,0,.1000001,.3,.0999999,.0999999
2001,3,,-.1,-.3,-.2,-.0999999,0,0,.1000001,0
2001,4,.2,-.3000001,-.3999999,-.3000002,-.2,-.2,-.2,-.0999999,
2001,5,,.1,-.1000001,-.1999998,-.0999999,0,0,-.0999999,
2001,6,,-.5,-.2,.0999999,0,-.0999999,0,0,
2001,7,-.1,-.0999999,0,-.1000001,0,0,.0999999,,
2001,8,,-.3,-.2,-.0999999,-.1000001,-.0999999,0,,
2001,9,,-.1,-.2,-.1000001,-.0999999,0,0,,
2001,10,-2.2,-3.9,-1.7,-.3,.3,.5,,,
2001,11,,-.6,-.9,-.3000002,.0999999,.0999999,,,
2001,12,,.6,-.1,0,0,-.1999998,,,
2002,1,.3,.3,0,-.2,-.1000001,,,,
2002,2,,.9,.3000002,0,-.0999999,0,.0999999,0,.1999998
2002,3,,.9999999,.3,.1000001,0,0,-.0999999,0,-.0999999
2002,4,1.9,.2,-.1000001,0,0,0,-.1000001,-.0999999,
2002,5,,-.3000002,-.3,-.1000001,.1000001,0,.1000001,0,
2002,6,,-.1999998,.1000001,.1000001,0,.0999999,.0999999,.0999999,
2002,7,-.3000002,-.1000001,0,0,0,.0999999,0,,
2002,8,,-.7,-.7,-.3,-.0999999,0,.0999999,,
2002,9,,.1000001,-.0999999,0,-.0999999,0,0,,
2002,10,.8999999,-.7,-.3000002,-.1000001,-.0999999,-.0999999,,,
2002,11,,-.6,-.3999999,0,.0999999,.2,,,
2002,12,,-.2,0,-.0999999,-.0999999,0,,,
2003,1,0,0,0,.0999999,.0999999,,,,
2003,2,,-.1000001,0,.1000001,0,0,0,0,0
2003,3,,-.3999999,-.4000001,-.1000001,0,.0999999,0,.1999998,.0999999
2003,4,-.4000001,-.5999999,0,0,-.0999999,.0999999,-.0999999,-.0999999,
2003,5,,-.1000001,-.0999999,-.0999999,.0999999,0,.0999999,0,
2003,6,,-.0999999,0,0,0,0,0,.0999999,
2003,7,-.1,.0999999,.0999999,.1000001,.2,.1000001,0,,
2003,8,,.1000001,0,0,-.0999999,0,.0999999,,
2003,9,,.8,.1000001,0,0,.0999999,0,,
2003,10,.4000001,-.2,-.1000001,0,0,-.0999999,,,
2003,11,,.0999999,.1000001,.2,.2,.0999999,,,
2003,12,,.1000001,.1999998,.0999999,-.0999999,.1000001,,,
2004,1,.4000001,.3000002,.1999998,.0999999,.0999999,,,,
2004,2,,.0999999,.1000004,.0999999,.1000001,0,.0999999,.0999999,.0999999
2004,3,,-.0999999,0,0,.0999999,.1000001,0,0,-.0999999
2004,4,-.0999999,0,0,0,-.1000001,0,0,0,
2004,5,,.0999999,.0999999,0,0,0,0,.0999999,
2004,6,,-.0999999,-.0999999,-.0999999,0,0,0,-.0999999,
2004,7,-.2000003,.0999999,.1999998,0,0,-.0999999,0,,
2004,8,,-.1999998,0,.1000001,0,-.0999999,0,,
2004,9,,-.5,-.1999998,-.1000001,0,.0999999,0,,
2004,10,.3,-.2,-.0999999,-.0999999,0,.0999999,,,
2004,11,,-.1000001,-.2,0,.0999999,0,,,
2004,12,,.1000001,0,0,-.0999999,0,,,
2005,1,0,.2,.0999999,0,0,,,,
2005,2,,0,0,0,0,0,0,0,0
2005,3,,.2,0,.0999999,-.0999999,0,0,0,0
2005,4,.2,0,-.0999999,-.1000001,0,0,0,0,
2005,5,,-.5999999,-.0999999,0,-.0999999,0,0,0,
2005,6,,.2,-.1000001,0,0,0,-.0999999,0,
2005,7,0,0,0,0,-.0999999,0,0,,
2005,8,,.6000001,0,0,0,0,-.0999999,,
2005,9,,-.3000002,-.3,-.1000001,0,-.1000001,0,,
2005,10,-.1999998,-.0999999,.3000002,.2,.1000001,0,,,
2005,11,,.0999999,.0999999,0,0,-.1000001,,,
2005,12,,.2,0,0,-.1000001,0,,,
2006,1,-.1000001,.0999999,0,0,-.0999999,,,,
2006,2,,.5,0,0,0,0,0,-.1000001,-.0999999
2006,3,,.5999999,-.1000001,-.0999999,-.0999999,-.1999998,0,-.0999999,0
2006,4,-.0999999,.1000001,0,-.1000001,0,-.0999999,0,0,
2006,5,,0,0,0,0,0,.0999999,.0999999,
2006,6,,-.5,-.0999999,0,-.1000001,-.0999999,0,-.0999999,
2006,7,-.1000001,0,0,-.0999999,-.1000001,-.0999999,0,,
2006,8,,-.2,-.0999999,0,-.0999999,-.0999999,0,,
2006,9,,0,-.3,-.1000001,-.1000001,0,0,,
2006,10,-.4000001,0,0,.1000001,0,0,,,
2006,11,,-.1000001,0,0,-.1000001,0,,,
2006,12,,-.4,-.1999998,-.1000001,0,-.0999999,,,
2007,1,.4,-.1000001,-.0999999,.1000001,.0999999,,,,
2007,2,,.2,.0999999,0,.0999999,0,0,0,0
2007,3,,-.0999999,0,0,0,-.0999999,0,0,-.0999999
2007,4,-.3000002,-.1999998,-.2,-.0999999,0,-.0999999,0,0,
2007,5,,0,-.1000001,-.0999999,-.0999999,0,0,.0999999,
2007,6,,.3999999,0,0,0,.0999999,0,.0999999,
2007,7,.2,0,-.1000001,-.1000001,-.0999999,0,-.0999999,,
2007,8,,0,-.0999999,-.0999999,-.1000001,-.0999999,0,,
2007,9,,-.1999998,-.6000001,-.3,-.2,-.1000001,0,,
2007,10,.1999998,-.3,-.3000002,-.1999998,-.0999999,-.0999999,,,
2007,11,,-.0999999,-.1999999,-.1000001,-.1000001,-.1000001,,,
2007,12,,-.9,-.5,-.3,-.1999998,-.0999999,,,
2008,1,.4999999,-.1,-.1,-.1000001,-.1000001,,,,
2008,2,,-.8,-.8,0,-.0999999,-.2,0,0,0
2008,3,,-.4,-.6,.1000001,-.3,-.6000001,-.0999999,-.1000001,0
2008,4,0,-.4,-.3000002,-.3000001,-.0999999,-.1000001,0,0,
2008,5,,.1,-.3999999,-.4,-.1,-.0999999,-.0999999,0,
2008,6,,.2,-.2,-.3,0,0,0,0,
2008,7,.8000001,-.2,-.6,-.4,-.2,-.1000001,-.1000001,,
2008,8,,-.0999999,-.3,-.4,-.3,-.0999999,-.0999999,,
2008,9,,-.2,-.1,0,0,-.0999999,0,,
2008,10,-1.3,-1.3,-1.2,-.8,-.3000002,-.2,,,
2008,11,,-1.7,-1.4,-1,-.5999999,-.4000001,,,
2008,12,,-1.3,-.9000001,-.6,-.3,-.1999999,,,
2009,1,-1.1,-.8999999,-.4,0,.3000001,,,,
2009,2,,-1.6,-.7,-.4,-.2,-.1999998,-.0999999,-.2,-.1000001
2009,3,,-.4000001,-.5,-.3,-.2,-.1000001,-.1000001,-.1999998,0
2009,4,.2000003,-.0999999,-.1,-.1999999,0,-.0999999,0,0,
2009,5,,.3999999,.1,.1999999,-.0999999,0,-.1000001,-.0999999,
2009,6,,-.0999999,.1,.1,.2,.0999999,.1000001,0,
2009,7,0,.4,0,-.1000001,0,-.1000001,0,,
2009,8,,1.2,.4,.2,0,0,-.0999999,,
2009,9,,.8,.1000001,0,-.0999999,-.0999999,0,,
2009,10,.2,0,.0999999,0,.0999999,0,,,
2009,11,,.3999999,.1000001,.2,0,.0999999,,,
2009,12,,0,.0999999,-.1000001,.1000001,.0999999,,,
2010,1,1.2,.1000001,0,0,-.0999999,,,,
2010,2,,-.1000001,0,-.1000001,0,.0999999,-.0999999,.0999999,0
2010,3,,0,.1000001,-.0999999,0,-.0999999,0,0,.0999999
2010,4,.1000001,.0999999,.0999999,0,.0999999,0,-.0999999,0,
2010,5,,.2,.1000001,.0999999,0,-.1000001,0,-.0999999,
2010,6,,.3,.0999999,0,0,0,0,0,
2010,7,-.3,-.3,-.3,-.2,-.0999999,-.1000001,0,,
2010,8,,-.3,-.0999999,0,-.0999999,0,0,,
2010,9,,-.6000001,-.4000001,-.3,-.1000001,-.0999999,0,,
2010,10,.1,0,0,-.0999999,0,0,,,
2010,11,,-.0999999,-.0999999,0,0,.0999999,,,
2010,12,,.3,.0999999,.0999999,0,-.0999999,,,
2011,1,.7,.7,.5,.3,.3,,,,
2011,2,,.3,.1000001,.2,0,0,0,0,0
2011,3,,-.0999999,0,-.0999999,-.0999999,0,0,0,0
2011,4,-.8000002,-.2,-.1000001,0,0,0,0,0,
2011,5,,0,-.0999999,0,-.0999999,-.1000001,0,0,
2011,6,,-.6000001,.0999999,0,0,-.0999999,0,-.0999999,
2011,7,-.5999999,-.0999999,-.2,-.2,0,-.1000001,0,,
2011,8,,-1,-.7,-.3999999,-.4000001,-.3,-.3,,
2011,9,,-.3000001,-.4000001,-.3000002,-.1999998,-.2,-.1000001,,
2011,10,0,-.1999999,-.1999999,-.2,-.0999999,-.0999999,,,
2011,11,,.4,0,0,-.0999999,-.1000001,,,
2011,12,,.4000001,0,-.1000001,-.1000001,0,,,
2012,1,.3999999,.1,0,0,.1000001,,,,
2012,2,,.0999999,.1000001,.1000001,-.1000001,-.0999999,0,.1000001,0
2012,3,,0,0,0,0,0,0,0,0
2012,4,.1000001,.0999999,0,0,-.0999999,-.1000001,0,0,
2012,5,,-.0999999,0,0,-.2,0,0,0,
2012,6,,-.1000001,-.2,-.1999998,-.1000001,-.0999999,-.1000001,-.0999999,
2012,7,-.3,-.1000001,-.1000001,-.1999999,-.0999999,-.0999999,0,,
2012,8,,-.3999999,-.4,-.1,0,0,0,,
2012,9,,0,0,0,-.1000001,0,-.1000001,,
2012,10,0,-.1,-.0999999,-.0999999,-.1000001,0,,,
2012,11,,-.0999999,-.1,0,0,.1000001,,,
2012,12,,-.5,0,-.1000001,-.0999999,-.1000001,,,
2013,1,.1999999,0,0,0,-.0999999,,,,
2013,2,,.4,.1000001,.0999999,.0999999,0,.1000001,0,0
2013,3,,.0999999,-.2,-.0999999,-.0999999,-.1000001,-.1000001,0,0
2013,4,.8000002,-.2,-.0999999,-.1000001,.1000001,0,0,0,
2013,5,,-.0999999,-.1000001,0,0,0,0,-.0999999,
2013,6,,.0999999,0,0,0,0,0,0,
2013,7,-.0999999,0,.1000001,0,0,-.1000001,0,,
2013,8,,0,0,0,0,.1000001,0,,
2013,9,,-.2,-.1000001,0,0,0,.0999999,,
2013,10,-.0999999,-.1999998,-.1000001,0,0,-.0999999,,,
2013,11,,-.6000001,0,0,0,0,,,
2013,12,,-.1999999,-.0999999,-.0999999,0,0,,,
2014,1,.8000001,0,.0999999,0,.0999999,,,,
2014,2,,-.3,0,0,0,0,0,.0999999,.0999999
2014,3,,-.3000001,0,.0999999,.0999999,0,0,-.0999999,-.0999999
2014,4,-.1999999,.2,0,0,0,0,0,0,
2014,5,,.4000001,0,0,0,0,0,0,
2014,6,,.3,.0999999,0,0,0,0,0,
2014,7,-.4000001,.1000001,0,-.0999999,-.0999999,-.0999999,0,,
2014,8,,-.3,-.0999999,0,.0999999,.0999999,0,,
2014,9,,.0999999,0,0,-.0999999,-.0999999,0,,
2014,10,.0999999,0,0,0,0,0,,,
2014,11,,-.3,-.1000001,-.1000001,0,0,,,
2014,12,,-.2,.1000001,.1000001,.0999999,0,,,
,,,,,,,,,,
